,filename,filesize,filelength
0,chb01_02.edf.npy,37,3600
1,chb01_03.edf.npy,38,3600
2,chb01_04.edf.npy,37,3600
3,chb01_05.edf.npy,37,3600
4,chb01_06.edf.npy,38,3600
5,chb01_07.edf.npy,38,3600
6,chb01_08.edf.npy,36,3600
7,chb01_09.edf.npy,38,3600
8,chb01_10.edf.npy,38,3600
9,chb01_11.edf.npy,38,3600
10,chb01_12.edf.npy,38,3600
11,chb01_13.edf.npy,37,3600
12,chb01_14.edf.npy,38,3600
13,chb01_15.edf.npy,39,3600
14,chb01_16.edf.npy,40,3600
15,chb01_17.edf.npy,39,3600
16,chb01_19.edf.npy,37,3600
17,chb01_20.edf.npy,26,2663
18,chb01_21.edf.npy,38,3600
19,chb01_22.edf.npy,38,3600
20,chb01_23.edf.npy,40,3600
21,chb01_24.edf.npy,37,3600
22,chb01_25.edf.npy,39,3600
23,chb01_26.edf.npy,24,2325
24,chb01_27.edf.npy,7,600
25,chb01_29.edf.npy,41,3600
26,chb01_30.edf.npy,39,3600
27,chb01_31.edf.npy,39,3600
28,chb01_32.edf.npy,41,3600
29,chb01_33.edf.npy,39,3600
30,chb01_34.edf.npy,39,3600
31,chb01_36.edf.npy,40,3600
32,chb01_38.edf.npy,41,3600
33,chb01_39.edf.npy,36,3600
34,chb01_40.edf.npy,37,3600
35,chb01_41.edf.npy,38,3600
36,chb01_42.edf.npy,39,3600
37,chb01_43.edf.npy,37,3600
38,chb01_46.edf.npy,39,3600
39,chb03_01.edf.npy,36,3600
40,chb03_02.edf.npy,36,3600
41,chb03_03.edf.npy,38,3600
42,chb03_04.edf.npy,34,3600
43,chb03_05.edf.npy,33,3600
44,chb03_06.edf.npy,34,3600
45,chb03_07.edf.npy,32,3600
46,chb03_08.edf.npy,32,3600
47,chb03_09.edf.npy,30,3600
48,chb03_11.edf.npy,31,3600
49,chb03_12.edf.npy,29,3600
50,chb03_13.edf.npy,31,3600
51,chb03_14.edf.npy,30,3600
52,chb03_15.edf.npy,31,3600
53,chb03_16.edf.npy,34,3600
54,chb03_17.edf.npy,38,3600
55,chb03_18.edf.npy,33,3600
56,chb03_19.edf.npy,38,3600
57,chb03_20.edf.npy,39,3606
58,chb03_21.edf.npy,39,3600
59,chb03_22.edf.npy,37,3600
60,chb03_23.edf.npy,38,3600
61,chb03_24.edf.npy,39,3600
62,chb03_25.edf.npy,38,3600
63,chb03_26.edf.npy,39,3600
64,chb01_18.edf.npy,36,3600
65,chb01_37.edf.npy,38,3600
66,chb03_10.edf.npy,34,3600
67,chb03_27.edf.npy,41,3600
68,chb07_06.edf.npy,51,4920
69,chb09_04.edf.npy,146,14415
70,chb10_02.edf.npy,77,7200
71,chb10_22.edf.npy,68,7200
72,chb20_13.edf.npy,37,3600
73,chb20_60.edf.npy,39,3600
74,chb21_16.edf.npy,38,3599
75,chb21_33.edf.npy,40,3600
76,chb03_28.edf.npy,41,3600
77,chb03_29.edf.npy,37,3600
78,chb03_30.edf.npy,36,3600
79,chb03_31.edf.npy,35,3600
80,chb03_32.edf.npy,37,3600
81,chb03_33.edf.npy,36,3600
82,chb03_34.edf.npy,36,3600
83,chb03_35.edf.npy,37,3600
84,chb03_36.edf.npy,37,3600
85,chb03_37.edf.npy,37,3600
86,chb03_38.edf.npy,38,3600
87,chb07_01.edf.npy,147,14411
88,chb07_02.edf.npy,141,14400
89,chb07_03.edf.npy,138,14400
90,chb07_04.edf.npy,136,14400
91,chb07_05.edf.npy,177,14400
92,chb07_07.edf.npy,46,4660
93,chb07_08.edf.npy,146,14400
94,chb07_09.edf.npy,147,14400
95,chb07_10.edf.npy,144,14400
96,chb07_11.edf.npy,136,14400
97,chb07_12.edf.npy,149,14400
98,chb07_13.edf.npy,41,3726
99,chb07_14.edf.npy,164,14400
100,chb07_15.edf.npy,149,14400
101,chb07_16.edf.npy,148,14400
102,chb07_17.edf.npy,143,14400
103,chb07_18.edf.npy,116,12060
104,chb07_19.edf.npy,149,14411
105,chb09_01.edf.npy,83,8023
106,chb09_02.edf.npy,152,14399
107,chb09_03.edf.npy,152,14400
108,chb09_05.edf.npy,181,14400
109,chb09_06.edf.npy,161,14399
110,chb09_07.edf.npy,151,14400
111,chb09_08.edf.npy,156,14400
112,chb09_09.edf.npy,148,14400
113,chb09_10.edf.npy,150,14400
114,chb09_11.edf.npy,180,14400
115,chb09_12.edf.npy,172,14400
116,chb09_13.edf.npy,159,14405
117,chb09_14.edf.npy,159,14411
118,chb09_15.edf.npy,154,14421
119,chb09_16.edf.npy,143,13591
120,chb09_17.edf.npy,10,974
121,chb09_18.edf.npy,159,14400
122,chb09_19.edf.npy,67,5700
123,chb10_01.edf.npy,75,7220
124,chb10_03.edf.npy,70,7200
125,chb10_04.edf.npy,67,7200
126,chb10_05.edf.npy,73,7200
127,chb10_06.edf.npy,71,7200
128,chb10_07.edf.npy,74,7200
129,chb10_08.edf.npy,77,7200
130,chb10_12.edf.npy,76,7200
131,chb10_13.edf.npy,75,7200
132,chb10_14.edf.npy,74,7200
133,chb10_15.edf.npy,69,7200
134,chb10_16.edf.npy,63,7200
135,chb10_17.edf.npy,68,7200
136,chb10_18.edf.npy,69,7200
137,chb10_19.edf.npy,72,7200
138,chb10_20.edf.npy,79,7212
139,chb10_21.edf.npy,76,7200
140,chb10_27.edf.npy,72,7218
141,chb10_28.edf.npy,65,7200
142,chb10_30.edf.npy,69,7213
143,chb10_31.edf.npy,75,7221
144,chb10_38.edf.npy,77,7200
145,chb10_89.edf.npy,73,7200
146,chb20_01.edf.npy,39,3606
147,chb20_02.edf.npy,38,3600
