,filename,filetype
0,/home/austinguish/dataset/Inter_23737.npy,Interictal
1,/home/austinguish/dataset/Pre_2080.npy,Preictal
2,/home/austinguish/dataset/Inter_37382.npy,Interictal
3,/home/austinguish/dataset/Inter_47489.npy,Interictal
4,/home/austinguish/dataset/Pre_11964.npy,Preictal
5,/home/austinguish/dataset/Inter_27483.npy,Interictal
6,/home/austinguish/dataset/Inter_16197.npy,Interictal
7,/home/austinguish/dataset/Inter_41796.npy,Interictal
8,/home/austinguish/dataset/Inter_13598.npy,Interictal
9,/home/austinguish/dataset/Pre_12343.npy,Preictal
10,/home/austinguish/dataset/Pre_15037.npy,Preictal
11,/home/austinguish/dataset/Pre_3221.npy,Preictal
12,/home/austinguish/dataset/Pre_12292.npy,Preictal
13,/home/austinguish/dataset/Inter_39619.npy,Interictal
14,/home/austinguish/dataset/Inter_28816.npy,Interictal
15,/home/austinguish/dataset/Pre_5822.npy,Preictal
16,/home/austinguish/dataset/Pre_11471.npy,Preictal
17,/home/austinguish/dataset/Inter_28531.npy,Interictal
18,/home/austinguish/dataset/Inter_23341.npy,Interictal
19,/home/austinguish/dataset/Inter_42656.npy,Interictal
20,/home/austinguish/dataset/Inter_49087.npy,Interictal
21,/home/austinguish/dataset/Inter_39757.npy,Interictal
22,/home/austinguish/dataset/Inter_40323.npy,Interictal
23,/home/austinguish/dataset/Inter_6475.npy,Interictal
24,/home/austinguish/dataset/Inter_34141.npy,Interictal
25,/home/austinguish/dataset/Inter_20207.npy,Interictal
26,/home/austinguish/dataset/Inter_11818.npy,Interictal
27,/home/austinguish/dataset/Inter_29317.npy,Interictal
28,/home/austinguish/dataset/Pre_11668.npy,Preictal
29,/home/austinguish/dataset/Inter_8577.npy,Interictal
30,/home/austinguish/dataset/Inter_3268.npy,Interictal
31,/home/austinguish/dataset/Inter_46332.npy,Interictal
32,/home/austinguish/dataset/Inter_2432.npy,Interictal
33,/home/austinguish/dataset/Inter_32600.npy,Interictal
34,/home/austinguish/dataset/Inter_27948.npy,Interictal
35,/home/austinguish/dataset/Inter_759.npy,Interictal
36,/home/austinguish/dataset/Inter_14965.npy,Interictal
37,/home/austinguish/dataset/Inter_36102.npy,Interictal
38,/home/austinguish/dataset/Inter_44990.npy,Interictal
39,/home/austinguish/dataset/Inter_41981.npy,Interictal
40,/home/austinguish/dataset/Inter_34679.npy,Interictal
41,/home/austinguish/dataset/Inter_10684.npy,Interictal
42,/home/austinguish/dataset/Inter_14563.npy,Interictal
43,/home/austinguish/dataset/Inter_14887.npy,Interictal
44,/home/austinguish/dataset/Inter_2388.npy,Interictal
45,/home/austinguish/dataset/Inter_46577.npy,Interictal
46,/home/austinguish/dataset/Inter_32763.npy,Interictal
47,/home/austinguish/dataset/Inter_12124.npy,Interictal
48,/home/austinguish/dataset/Inter_13447.npy,Interictal
49,/home/austinguish/dataset/Pre_13879.npy,Preictal
50,/home/austinguish/dataset/Inter_27925.npy,Interictal
51,/home/austinguish/dataset/Inter_36614.npy,Interictal
52,/home/austinguish/dataset/Inter_15364.npy,Interictal
53,/home/austinguish/dataset/Inter_31245.npy,Interictal
54,/home/austinguish/dataset/Inter_22734.npy,Interictal
55,/home/austinguish/dataset/Pre_12708.npy,Preictal
56,/home/austinguish/dataset/Pre_10538.npy,Preictal
57,/home/austinguish/dataset/Inter_34601.npy,Interictal
58,/home/austinguish/dataset/Inter_19871.npy,Interictal
59,/home/austinguish/dataset/Inter_6319.npy,Interictal
60,/home/austinguish/dataset/Inter_8648.npy,Interictal
61,/home/austinguish/dataset/Inter_28362.npy,Interictal
62,/home/austinguish/dataset/Inter_22813.npy,Interictal
63,/home/austinguish/dataset/Pre_12192.npy,Preictal
64,/home/austinguish/dataset/Pre_4230.npy,Preictal
65,/home/austinguish/dataset/Pre_302.npy,Preictal
66,/home/austinguish/dataset/Inter_41429.npy,Interictal
67,/home/austinguish/dataset/Inter_24226.npy,Interictal
68,/home/austinguish/dataset/Inter_43508.npy,Interictal
69,/home/austinguish/dataset/Inter_33203.npy,Interictal
70,/home/austinguish/dataset/Inter_2409.npy,Interictal
71,/home/austinguish/dataset/Inter_38145.npy,Interictal
72,/home/austinguish/dataset/Inter_3179.npy,Interictal
73,/home/austinguish/dataset/Pre_13311.npy,Preictal
74,/home/austinguish/dataset/Inter_9849.npy,Interictal
75,/home/austinguish/dataset/Inter_35137.npy,Interictal
76,/home/austinguish/dataset/Inter_27223.npy,Interictal
77,/home/austinguish/dataset/Pre_7940.npy,Preictal
78,/home/austinguish/dataset/Inter_44957.npy,Interictal
79,/home/austinguish/dataset/Inter_18555.npy,Interictal
80,/home/austinguish/dataset/Pre_11804.npy,Preictal
81,/home/austinguish/dataset/Inter_47270.npy,Interictal
82,/home/austinguish/dataset/Inter_8216.npy,Interictal
83,/home/austinguish/dataset/Inter_26202.npy,Interictal
84,/home/austinguish/dataset/Inter_41827.npy,Interictal
85,/home/austinguish/dataset/Inter_45792.npy,Interictal
86,/home/austinguish/dataset/Pre_9952.npy,Preictal
87,/home/austinguish/dataset/Inter_32689.npy,Interictal
88,/home/austinguish/dataset/Pre_12535.npy,Preictal
89,/home/austinguish/dataset/Inter_20401.npy,Interictal
90,/home/austinguish/dataset/Inter_44781.npy,Interictal
91,/home/austinguish/dataset/Pre_6671.npy,Preictal
92,/home/austinguish/dataset/Inter_23399.npy,Interictal
93,/home/austinguish/dataset/Inter_5167.npy,Interictal
94,/home/austinguish/dataset/Inter_18290.npy,Interictal
95,/home/austinguish/dataset/Pre_8376.npy,Preictal
96,/home/austinguish/dataset/Inter_26229.npy,Interictal
97,/home/austinguish/dataset/Inter_6440.npy,Interictal
98,/home/austinguish/dataset/Inter_15604.npy,Interictal
99,/home/austinguish/dataset/Pre_14140.npy,Preictal
100,/home/austinguish/dataset/Inter_8023.npy,Interictal
101,/home/austinguish/dataset/Inter_38630.npy,Interictal
102,/home/austinguish/dataset/Inter_31296.npy,Interictal
103,/home/austinguish/dataset/Pre_13920.npy,Preictal
104,/home/austinguish/dataset/Inter_5164.npy,Interictal
105,/home/austinguish/dataset/Pre_3780.npy,Preictal
106,/home/austinguish/dataset/Inter_35043.npy,Interictal
107,/home/austinguish/dataset/Pre_14771.npy,Preictal
108,/home/austinguish/dataset/Pre_1395.npy,Preictal
109,/home/austinguish/dataset/Inter_43958.npy,Interictal
110,/home/austinguish/dataset/Inter_8038.npy,Interictal
111,/home/austinguish/dataset/Inter_36209.npy,Interictal
112,/home/austinguish/dataset/Pre_6471.npy,Preictal
113,/home/austinguish/dataset/Inter_28006.npy,Interictal
114,/home/austinguish/dataset/Inter_27401.npy,Interictal
115,/home/austinguish/dataset/Inter_27581.npy,Interictal
